TIPO DE USO,CLASE DE FUENTE,CUENCA,CÓDIGO DE CUENCA,DISPONIBILIDAD HÍDRICA,AUTORIDAD LOCAL DEL AGUA (ALA),AUTORIDAD ADMINISTRATIVA DEL AGUA (AAA),DEPARTAMENTO,PROVINCIA,DISTRITO,RAZÓN SOCIAL,N DE RUC,VIGENTE EN REGISTRO DE LA ANA,TIPO DE PERMISO,TIPO DE FUENTE DE AGUA,NOMBRE DE LA FUENTE DE AGUA,N° DE RESOLUCIÓN
Minero,Superficial,Intercuenca Alto Apurímac,4999,Alta,Medio Apurímac Pachachaca,Pampas Apurímac,Apurímac,Cotabambas,Haquira,Anabi S.A.C.,20517187551,SI,Licencia,Laguna,Aparayoc,0578-2016
Poblacional,Superficial,Cuenca Ilo - Moquegua,13172,Baja,Moquegua,Caplina Ocoña,Moquegua,Mariscal Nieto,Torata,Anglo American Quellaveco S.A.,20137913250,SI,Licencia,Manantial,Sarallenque,0046-1995
Minero,Superficial,Cuenca Ilo - Moquegua,13172,Baja,Locumba Sama,Caplina Ocoña,Moquegua,Mariscal Nieto,Moquegua,Anglo American Quellaveco S.A.,20137913250,SI,Licencia,Quebrada,Cortadera,0072-2000
Otros usos,Superficial,Cuenca Ilo - Moquegua,13172,Baja,Locumba Sama,Caplina Ocoña,Moquegua,Mariscal Nieto,Moquegua,Anglo American Quellaveco S.A.,20137913250,SI,Autorización,Río,Asana,0242-2012
Otros usos,Superficial,Cuenca Ilo - Moquegua,13172,Baja,Moquegua,Caplina Ocoña,Moquegua,Mariscal Nieto,Moquegua,Anglo American Quellaveco S.A.,20137913250,SI,Autorización,Río,Asana,0319-2012
Minero,Superficial,Cuenca Tambo,1318,Baja,Moquegua,Caplina Ocoña,Moquegua,Mariscal Nieto,Carumas,Anglo American Quellaveco S.A.,20137913250,NO,Autorización,Río,Titire,0766-2012
Minero,Superficial,Cuenca Tambo,1318,Baja,Moquegua,Caplina Ocoña,Moquegua,Mariscal Nieto,Carumas,Anglo American Quellaveco S.A.,20137913250,NO,Autorización,Río,Vizcachas,0766-2012
Minero,Superficial,Cuenca Tambo,1318,Alta,Tambo Alto Tambo,Caplina Ocoña,Moquegua,General Sanchez Cerro,Ichuña,Canteras de Hallazgo S.A.C.,,SI,Autorización,Quebrada,Agani,0133-2010
Minero,Superficial,Cuenca Ilo - Moquegua,13172,Baja,Moquegua,Caplina Ocoña,Moquegua,Mariscal Nieto,Torata,Anglo American Quellaveco S.A.,20137913250,NO,Autorización,Río,Asana,0627-2012
Minero,Superficial,Cuenca Tambo,1318,Alta,Tambo Alto Tambo,Caplina Ocoña,Moquegua,General Sanchez Cerro,Ichuña,Canteras de Hallazgo S.A.C.,,SI,Autorización,Quebrada,Corire,0133-2010
Otros usos,Superficial,Cuenca Ilo - Moquegua,13172,Baja,Moquegua,Caplina Ocoña,Moquegua,Mariscal Nieto,Torata,Anglo American Quellaveco S.A.,20137913250,SI,Autorización,Río,Asana,0486-2013
Otros usos,Superficial,Cuenca Ilo - Moquegua,13172,Baja,Moquegua,Caplina Ocoña,Moquegua,Mariscal Nieto,Torata,Anglo American Quellaveco S.A.,20137913250,SI,Autorización,Río,Asana,0486-2013
Minero,Superficial,Cuenca Tambo,1318,Alta,Tambo Alto Tambo,Caplina Ocoña,Moquegua,General Sanchez Cerro,Ichuña,Canteras De Hallazgo S.A.C.,,NO,Autorización,Quebrada,Agani,0689-2011
Minero,Superficial,Cuenca Tambo,1318,Alta,Tambo Alto Tambo,Caplina Ocoña,Moquegua,General Sanchez Cerro,Ichuña,Canteras De Hallazgo S.A.C.,,SI,Autorización,Puquial,Ccapunco,0689-2011
Minero,Superficial,Cuenca Tambo,1318,Alta,Tambo Alto Tambo,Caplina Ocoña,Moquegua,General Sanchez Cerro,Ichuña,Canteras De Hallazgo S.A.C.,,NO,Autorización,Quebrada,Corire,0689-2011
Minero,Superficial,Cuenca Suches,0172,Alta,Huancane,Titicaca,Puno,San Antonio De Putina,Ananea,Central de Cooperativas Mineras de Trapiche Ltda.,,SI,Licencia,Quebrada,Cumuni,0023-2013
Minero,Superficial,Cuenca Suches,0172,Alta,Huancane,Titicaca,Puno,San Antonio De Putina,Ananea,Central de Cooperativas Mineras de Trapiche Ltda.,,SI,Licencia,Quebrada,Trapiche Punto De Bombeo 1 y 2,
Minero,Superficial,Cuenca Suches,0172,Alta,Huancane,Titicaca,Puno,San Antonio De Putina,Ananea,Central de Cooperativas Mineras de Trapiche Ltda.,,NO,Licencia,Río,Trapiche Punto De Bombeo 1,0040-2010
