TIPO DE USO,CLASE DE FUENTE,CUENCA,CÓDIGO DE CUENCA,DISPONIBILIDAD HÍDRICA,AUTORIDAD LOCAL DEL AGUA (ALA),AUTORIDAD ADMINISTRATIVA DEL AGUA (AAA),DEPARTAMENTO,PROVINCIA,DISTRITO,RAZÓN SOCIAL,N DE RUC,VIGENTE EN REGISTRO DE LA ANA,TIPO DE PERMISO,TIPO DE FUENTE DE AGUA,NOMBRE DE LA FUENTE DE AGUA,N° DE RESOLUCIÓN
Otros usos,Superficial,Cuenca Alto Huallaga,49849,Alta,Pasco,Mantaro,Pasco,Daniel Alcides Carrion,Yanahuanca,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Laguna,Aguascocha,0113-2006
Industrial,Superficial,Intercuenca Alto Apurímac,4999,Alta,Medio Apurímac Pachachaca,Pampas Apurímac,Apurímac,Antabamba,No identificado,Compañía de Minas Buenaventura S.A.A.,20100079501,SI,Autorización,No identificado,No Identificado,0466-2006 
Minero,Superficial,Intercuenca Alto Apurímac,4999,Alta,Medio Apurímac Pachachaca,Pampas Apurímac,Apurímac,Antabamba,No identificado,Compañía de Minas Buenaventura S.A.A.,20100079501,SI,Autorización,No identificado,No Identificado,0467-2006
Minero,Superficial,Cuenca Mantaro,4996,Alta,Huancavelica,Mantaro,Huancavelica,Angaraes,Lircay,Compañía de Minas Buenaventura S.A.A.,20100079501,SI,Licencia,Manantial,Acchisayhua,0015-2007
Minero,Superficial,Cuenca Mantaro,4996,Alta,Huancavelica,Mantaro,Huancavelica,Angaraes,Lircay,Compañía de Minas Buenaventura S.A.A.,20100079501,SI,Licencia,Río,Carhuapata,0015-2007
Minero,Superficial,Cuenca Pampas,4998,Alta,Ayacucho,Mantaro,Ayacucho,Cangallo,Paras,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Quebrada,Sorahuaycco,0403-2007
Minero,Superficial,Cuenca Pampas,4998,Alta,Ayacucho,Mantaro,Ayacucho,Cangallo,Paras,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Quebrada,Yanapaccha,0403-2007
Minero,Superficial,Cuenca Pampas,4998,Alta,Ayacucho,Mantaro,Ayacucho,Cangallo,Paras,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Manantial,Titiminas,0456-2007
Poblacional,Superficial,Cuenca Pampas,4998,Alta,Ayacucho,Mantaro,Ayacucho,Cangallo,Paras,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Manantial,Titiminas,0456-2007
Otros usos,Superficial,Cuenca Alto Huallaga,49849,Alta,Pasco,Mantaro,Pasco,Daniel Alcides Carrion,Yanahuanca,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Laguna,Puquio,0060-2007
Otros usos,Superficial,Cuenca Alto Huallaga,49849,Alta,Pasco,Mantaro,Pasco,Daniel Alcides Carrion,Yanahuanca,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Laguna,Chacracocha,0059-2007
Minero,Superficial,Cuenca Yauca,13716,Media,Chaparra Acari,Chaparra Chincha,Ayacucho,Parinacochas,Coracora,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Permiso,Manantial,Laberchafalda,0110-2008
Minero,Superficial,Cuenca Yauca,13716,Media,Chaparra Acari,Chaparra Chincha,Ayacucho,Parinacochas,Coracora,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Permiso,Quebrada,Tastacucho,0110-2008
Minero,Superficial,Cuenca Inambari,46648,Alta,Tambota - Inambari,Madre De Dios,Puno,Carabaya,Ollachea,Compañía Minera Kuri Kullu S.A.,,SI,Autorización,Río,Osjo Cachi,0012-2013
Minero,Superficial,Cuenca Camaná,134,Alta,Camaná Majes,Caplina Ocoña,Arequipa,Castilla,Orcopampa,Compañía de Minas Buenaventura S.A.A.,20100079501,SI,Licencia,Río,Chilcaymarca,0235-2008
Poblacional,Superficial,Cuenca Camaná,134,Alta,Camaná Majes,Caplina Ocoña,Arequipa,Castilla,Orcopampa,Compañía de Minas Buenaventura S.A.A.,20100079501,SI,Licencia,Río,Chilcaymarca,0235-2008
Poblacional,Superficial,Cuenca Camaná,134,Alta,Camaná Majes,Caplina Ocoña,Arequipa,Castilla,Orcopampa,Compañía de Minas Buenaventura S.A.A.,20100079501,SI,Licencia,Río,Orcopampa,0235-2008
